sp_ulysses_degree,sp_ring_degree,imbalance_ratio_improvement,speedup
8,1,1.0940518516544833,1.0851508603908129
8,1,1.1799084358496097,1.1408313783763784
8,1,1.284288934515627,1.2299846769854297
8,1,1.4194855502142303,1.298879705266508
8,1,1.538139291139545,1.3895936645787434
8,1,1.6571624349249439,1.5010870766677025
8,1,1.8478183458940025,1.6418217461472018
